ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2018-01-01,45,39948,617,Employed,Master,22,13152,48,Married,2,Own,183,0.35441791880765877,1,2,0.35833559969819156,0,Home,0,29,9,7632,1202,146111,19183,3329.0,0.7249720460524032,11,126928,0.19965200000000002,0.22758963035547056,419.8059915607372,0.18107719782539416,0,49.0
2018-01-02,38,39709,628,Employed,Associate,15,26045,48,Single,1,Mortgage,496,0.08782696820034872,5,3,0.330273669928854,0,Debt Consolidation,0,21,9,4627,3460,53204,9595,3309.0833333333335,0.9351320992549323,3,43609,0.207045,0.2010771214969362,794.0542382198969,0.3898524480253535,0,52.0
2018-01-03,47,40724,570,Employed,Bachelor,26,17627,36,Married,2,Rent,902,0.13741410423759723,2,0,0.24472910913284945,0,Education,0,20,22,886,895,25176,128874,3393.6666666666665,0.8722406105782907,6,5205,0.21762700000000001,0.21254800984525773,666.4066876774697,0.4621569652325321,0,52.0
2018-01-04,58,69084,545,Employed,High School,34,37898,96,Single,1,Mortgage,755,0.2675871369453283,2,1,0.4362442650682687,0,Home,0,27,10,1675,1217,104822,5370,5757.0,0.8961547069636465,5,99452,0.300398,0.3009108491496013,1047.5069802292967,0.3130983116604649,0,54.0
2018-01-05,37,103264,594,Employed,Associate,17,9184,36,Married,1,Mortgage,274,0.3205353247385241,0,0,0.0788842122687955,0,Debt Consolidation,0,26,27,1555,4981,244305,17286,8605.333333333334,0.9413687393229143,5,227019,0.197184,0.17599017877532833,330.17914048482373,0.07020984743780877,1,36.0
2018-01-06,37,178310,626,Self-Employed,Master,16,15433,72,Married,0,Rent,732,0.10221133683825603,5,1,0.2593664008403899,0,Debt Consolidation,1,16,19,2118,1223,67914,40843,14859.166666666666,0.7560793594714331,5,27071,0.21743300000000002,0.21760115512283368,385.5770741531959,0.07521128870976587,1,44.0
2018-01-07,58,51250,564,Employed,High School,39,12741,48,Married,0,Rent,337,0.3673803425383352,6,1,0.1274727031804663,0,Other,0,21,18,5161,1735,65624,43894,4270.833333333333,0.8842751265040522,5,21730,0.225741,0.20527096780610313,391.30035166528967,0.1705288628289459,0,50.0
2018-01-08,49,97345,516,Employed,High School,23,19634,12,Divorced,5,Mortgage,288,0.20976758316772148,5,0,0.39556763512473153,0,Other,0,19,11,781,74,50177,11556,8112.083333333333,0.9334924144306609,5,38621,0.226634,0.20911294209821452,1827.3600549751066,0.2607665587313296,1,42.400000000000006
2018-01-09,34,116841,603,Employed,Bachelor,12,55353,60,Divorced,5,Own,638,0.1927011647841362,3,0,0.3132332595016429,1,Debt Consolidation,0,25,29,1157,708,29632,49940,9736.75,0.7283969266537559,3,7711,0.258853,0.291539424809367,1762.1990260211653,0.2465092588411087,0,61.0
2018-01-10,46,40615,612,Employed,Associate,19,25443,12,Married,4,Other,704,0.5124646439687668,3,2,0.5051480267602317,0,Other,0,23,10,1028,446,129664,12852,3384.5833333333335,0.6153232100036344,3,116812,0.184443,0.19727060238590077,2353.577423938191,0.9033837027516506,0,53.0
2018-01-11,34,73646,478,Employed,Associate,10,48716,84,Single,3,Own,267,0.21123598795768952,4,1,0.08144473013858178,0,Auto,0,25,7,9266,3875,148966,20315,6137.166666666667,0.6784469665655821,4,128651,0.334716,0.3335388817645363,1504.4524892505112,0.2886433733129584,0,47.0
2018-01-12,34,15000,591,Employed,Bachelor,11,30088,24,Married,2,Mortgage,295,0.3121837751773506,5,1,0.3466856611903402,0,Home,0,21,28,259,348,33062,3353,1250.0,0.8420154706035147,3,29709,0.209588,0.1824011978415739,1505.6095277284012,1.440487622182721,0,56.0
2018-01-13,42,74453,573,Employed,Bachelor,21,16154,60,Married,1,Rent,258,0.527488434435663,6,0,0.3710335920591852,0,Debt Consolidation,0,26,7,781,1633,16204,35493,6204.416666666667,0.7189488829956874,5,5231,0.23465400000000003,0.2556845305679195,479.5398903097801,0.11887336552882168,0,56.0
2018-01-14,18,100508,580,Employed,Associate,0,20439,60,Married,1,Rent,247,0.16862484631904753,5,2,0.5813609803865023,0,Other,1,20,3,2027,916,181813,99030,8375.666666666666,0.5437487788048109,6,82783,0.235439,0.24537427375417806,594.3815331706401,0.10045547019190196,0,63.0
2018-01-15,19,47624,597,Employed,Bachelor,0,27197,36,Married,1,Mortgage,196,0.11496656425227526,2,1,0.7515148192746655,0,Debt Consolidation,0,15,21,2971,576,45336,9418,3968.6666666666665,0.7199405535105939,3,35918,0.213697,0.20222892178091925,1013.8293748263418,0.30484529854518944,0,58.0
2018-01-16,33,56650,605,Employed,Doctorate,11,12652,36,Single,1,Mortgage,336,0.4234308630650563,4,0,0.044156804060227574,0,Auto,0,21,15,242,131,261435,11144,4720.833333333333,0.8372135908452825,2,250291,0.195152,0.21641275248041184,480.84082795372984,0.1730289485515403,1,33.6
2018-01-17,27,50042,582,Employed,Doctorate,7,19105,60,Single,1,Rent,680,0.10391913383966452,6,3,0.30886931431239806,0,Debt Consolidation,0,36,14,2214,1219,11162,89196,4170.166666666667,0.9208669734304105,5,7021,0.233105,0.18712938714021898,492.58144374273706,0.28118335248217186,0,53.0
2018-01-18,43,142326,644,Employed,Bachelor,24,13499,96,Widowed,2,Mortgage,772,0.22257923089268752,1,2,0.29546987577122,0,Other,0,18,2,13247,856,73836,4213,11860.5,0.9710625003288936,5,69623,0.226499,0.22379476530680692,303.1952309300833,0.09065344892121607,1,39.2
