Date,Actual_Consumption,Predicted_Consumption
2020-10-20,236871,227967.33
2020-10-21,233842,237203.84
2020-10-22,225869,235586.96
2020-10-23,226441,228256.33
2020-10-24,221818,215750.24
2020-10-25,213479,214835.71
2020-10-26,222485,233046.66
2020-10-27,220064,226374.46
2020-10-28,222227,223463.39
2020-10-29,220636,223830.25
2020-10-30,225623,223867.16
2020-10-31,217502,211832.88
2020-11-01,206028,208425.65
2020-11-02,225310,222161.6
2020-11-03,217003,231046.51
2020-11-04,220336,221189.61
2020-11-05,224040,224115.6
2020-11-06,220670,223605.42
2020-11-07,208221,210771.28
2020-11-08,211782,209427.73
2020-11-09,232302,225420.91
2020-11-10,245012,231322.46
2020-11-11,241827,242946.17
2020-11-12,234987,240799.55
2020-11-13,239305,233830.45
2020-11-14,228315,227434.31
2020-11-15,222658,221188.93
2020-11-16,237974,236852.84
2020-11-17,233801,238523.85
2020-11-18,230603,237762.24
2020-11-19,232650,232647.76
2020-11-20,249739,234502.69
2020-11-21,243619,242174.98
2020-11-22,222795,236109.04
2020-11-23,235958,239304.38
2020-11-24,240545,235442.59
2020-11-25,244570,247390.71
2020-11-26,237613,248299.81
2020-11-27,249205,239854.33
2020-11-28,237280,241538.37
2020-11-29,229901,233654.38
2020-11-30,248841,248216.25
2020-12-01,246864,242568.49
2020-12-02,249036,242450.06
2020-12-03,255867,247419.55
2020-12-04,257537,255550.48
2020-12-05,240550,248503.11
2020-12-06,231029,234255.2
2020-12-07,243315,247847.47
2020-12-08,254499,239026.89
2020-12-09,262774,255702.88
2020-12-10,263310,258529.56
2020-12-11,265054,261593.4
2020-12-12,249751,257213.16
2020-12-13,244970,242450.34
2020-12-14,261194,261301.93
2020-12-15,253382,258114.83
2020-12-16,249320,253306.88
2020-12-17,252032,247943.16
2020-12-18,254722,253736.71
2020-12-19,239224,242589.86
2020-12-20,223491,233534.39
2020-12-21,232966,240542.64
2020-12-22,226924,239285.28
2020-12-23,229947,228442.05
2020-12-24,217162,227466.27
2020-12-25,217121,227036.31
2020-12-26,227536,213580.29
2020-12-27,224329,220830.6
2020-12-28,241936,239324.14
2020-12-29,244888,247320.82
2020-12-30,244485,248073.35
2020-12-31,238912,243820.51
2021-01-01,233709,241742.51
