Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Electricity consumption in Finland
31-12-2015 21:00,31-12-2015 22:00,01-01-2016 00:00,01-01-2016 01:00,10800
31-12-2015 22:00,31-12-2015 23:00,01-01-2016 01:00,01-01-2016 02:00,10431
31-12-2015 23:00,01-01-2016 00:00,01-01-2016 02:00,01-01-2016 03:00,10005
01-01-2016 00:00,01-01-2016 01:00,01-01-2016 03:00,01-01-2016 04:00,9722
01-01-2016 01:00,01-01-2016 02:00,01-01-2016 04:00,01-01-2016 05:00,9599
01-01-2016 02:00,01-01-2016 03:00,01-01-2016 05:00,01-01-2016 06:00,9524
01-01-2016 03:00,01-01-2016 04:00,01-01-2016 06:00,01-01-2016 07:00,9601
01-01-2016 04:00,01-01-2016 05:00,01-01-2016 07:00,01-01-2016 08:00,9793
01-01-2016 05:00,01-01-2016 06:00,01-01-2016 08:00,01-01-2016 09:00,9815
01-01-2016 06:00,01-01-2016 07:00,01-01-2016 09:00,01-01-2016 10:00,9998
01-01-2016 07:00,01-01-2016 08:00,01-01-2016 10:00,01-01-2016 11:00,10035
01-01-2016 08:00,01-01-2016 09:00,01-01-2016 11:00,01-01-2016 12:00,10098
01-01-2016 09:00,01-01-2016 10:00,01-01-2016 12:00,01-01-2016 13:00,10345
01-01-2016 10:00,01-01-2016 11:00,01-01-2016 13:00,01-01-2016 14:00,10478
01-01-2016 11:00,01-01-2016 12:00,01-01-2016 14:00,01-01-2016 15:00,10551
01-01-2016 12:00,01-01-2016 13:00,01-01-2016 15:00,01-01-2016 16:00,10646
01-01-2016 13:00,01-01-2016 14:00,01-01-2016 16:00,01-01-2016 17:00,11104
01-01-2016 14:00,01-01-2016 15:00,01-01-2016 17:00,01-01-2016 18:00,11463
01-01-2016 15:00,01-01-2016 16:00,01-01-2016 18:00,01-01-2016 19:00,11494
01-01-2016 16:00,01-01-2016 17:00,01-01-2016 19:00,01-01-2016 20:00,11518
01-01-2016 17:00,01-01-2016 18:00,01-01-2016 20:00,01-01-2016 21:00,11594
01-01-2016 18:00,01-01-2016 19:00,01-01-2016 21:00,01-01-2016 22:00,11412
01-01-2016 19:00,01-01-2016 20:00,01-01-2016 22:00,01-01-2016 23:00,11076
01-01-2016 20:00,01-01-2016 21:00,01-01-2016 23:00,02-01-2016 00:00,11271
01-01-2016 21:00,01-01-2016 22:00,02-01-2016 00:00,02-01-2016 01:00,11167
01-01-2016 22:00,01-01-2016 23:00,02-01-2016 01:00,02-01-2016 02:00,10709
01-01-2016 23:00,02-01-2016 00:00,02-01-2016 02:00,02-01-2016 03:00,10370
02-01-2016 00:00,02-01-2016 01:00,02-01-2016 03:00,02-01-2016 04:00,10136
02-01-2016 01:00,02-01-2016 02:00,02-01-2016 04:00,02-01-2016 05:00,10036
